"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01100","A0000081609","札幌市","特定非営利活動法人　札幌小凛の会","とくていひえいりかつどうほうじんさっぽろこりんのかい","7430005013344","北海道札幌市北区","あいの里４条３丁目５番２０号","080-6086-1126",,"https://korinsapporo.amebaownd.com","保育所等訪問支援","山ちゃんち　南あいの里","やまちゃんちみなみあいのさと","0150203917","北海道札幌市北区","南あいの里５丁目６番１０号グランディール１階","080-6086-1126",,,43.09064413,141.34059480,"","","","",,,
"01100","A0000023800","札幌市","株式会社　双葉","かぶしきがいしゃふたば","1430001068182","北海道札幌市北区","南あいの里3丁目11番17号","011-790-7897","011-790-7231",,"保育所等訪問支援","保育所等訪問支援事業所　双葉","ほいくしょとうほうもんしえんじぎょうしょふたば","0150204006","北海道札幌市北区","新川三条７丁目１−６５新川３・７ビル３階","011-790-7897","011-790-7231","",43.09064420,141.34059480,"09:00-17:00","","","","土日祝日",,
"01100","E0000009415","札幌市","社会福祉法人　札幌協働福祉会","しゃかいふくしほうじんさっぽろきょうどうふくしかい","5430005000633","北海道札幌市北区","あいの里１条６丁目１番２号拓北・あいの里福祉センター","011-770-5111","011-770-5112","http://sapporo-kyoudoufukusikai.jp","保育所等訪問支援","たくあいアクティビティ「むぅ（夢）」（保育所等訪問支援事業）","たくあいあくてぃびてぃむぅほいくしょとうほうもんしえんじぎょう","0150203560","北海道札幌市北区","あいの里１条６丁目１−２拓北・あいの里福祉センター１階","011-770-5520","011-770-5521","http://sapporo-kyoudoufukusikai.jp",43.15553029,141.39974683,"10:00-17:00","10:00-17:00","","","日曜、祝日、年末年始",,
"01100","E0000009515","札幌市","特定非営利活動法人　子どもサポートどろんこクラブ","とくていひえいりかつどうほうじんこどもさぽーとどろんこくらぶ","3430005003778","北海道札幌市北区","百合が原３丁目７番５号","011-792-8698","011-398-8699","http://doronko-club.or.jp/","保育所等訪問支援","どろんこきっず","どろんこきっず","0150300317","北海道札幌市東区","札幌市東区","011-688-7164","011-688-7164","http://doronko-club.or.jp/",43.07597460,141.36353280,"10:00-14:00","","","","土・日・祝・お盆・年末年始休み","訪問先機関の時間帯に合わせて訪問",
"01100","E0000009352","札幌市","社会福祉法人　北海道クリスチャンセンター福祉会","しゃかいふくしほうじんほっかいどうくりすちゃんせんたーふくしかい","4430005000675","北海道札幌市北区","北7条西6丁目2-33北海道ｸﾘｽﾁｬﾝｾﾝﾀｰ","011-746-6374","011-746-6374","https://www.kateifukushi.com","保育所等訪問支援","家庭福祉相談室","かていふくしそうだんしつ","0150203081","北海道札幌市北区","北７条西６丁目２−３３北海道クリスチャンセンター２F","011-746-6374","011-746-6374","http://www.kateifukushi.com/",43.06920521,141.34544022,"09:30-16:00","","","","土曜、日曜、祝日","保護者、訪問先の保育所等の都合により、これ以外の時間もサービスを提供する。",
"01100","E0000009463","札幌市","ウェルネス株式会社","うぇるねすかぶしきがいしゃ","430001062247 ","北海道札幌市北区","百合が原4丁目2番35号","011-775-3466","011-299-1412","http://wellnesscare.jp/about.html","保育所等訪問支援","ドレミ","どれみ","0150203842","北海道札幌市北区","篠路９条４丁目８−１３","011-312-9952","011-312-9952","http://doremi-codomo.com/",43.15498065,141.36078365,"09:00-17:00","09:00-17:00","","","日　祝日　は休業日",,
"01100","A0000026960","札幌市","株式会社　ホーム","かぶしきがいしゃほーむ","1430001074503","北海道札幌市北区","東茨戸二条１丁目８番１号","011-788-7263","011-788-7268","","保育所等訪問支援","ｇａｒｄｅｎ","がーでん","0150301059","北海道札幌市東区","伏古１０条２丁目１９番１３号","011-792-5578","011-792-5579",,43.09486196,141.39594802,"09:00-18:00","09:00-18:00","","","土曜日、日曜日、祝祭日","８月１３日から８月１６日、１２月３０日から１月３日を除く",
"01100","E0000009446","札幌市","株式会社　ホーム","かぶしきがいしゃほーむ","1430001074503","北海道札幌市北区","東茨戸二条１丁目８番１号","011-788-7263","011-788-7268","","保育所等訪問支援","ｌｉｎｋ","りんく","0150203768","北海道札幌市北区","新琴似１条３丁目２番１６号","011-788-7263","011-788-7268",,43.10387219,141.32141777,"09:00-18:00","09:00-18:00",,"","日曜日、祝祭日","８月１３日から８月１６日、１２月３０日から１月３日を除く",
"01100","A0000055052","札幌市","株式会社　ぽっけりんく","かぶしきがいしゃぽっけりんく","2430001075178","北海道札幌市北区","屯田８条１丁目１１−１０","011-788-7901","011-788-7908","http://popke-link.com","保育所等訪問支援","はなまる北　ポロ","はなまるきたぽろ","0150203982","北海道札幌市北区","屯田８条１丁目１番７号","011-776-7303","011-788-7908",,43.13839600,141.34683005,"","","","",,,
"01100","A0000055053","札幌市","株式会社　ぽっけりんく","かぶしきがいしゃぽっけりんく","2430001075178","北海道札幌市北区","屯田８条１丁目１１−１０","011-788-7901","011-788-7908","http://popke-link.com","保育所等訪問支援","はなまる北","はなまるきた","0150300879","北海道札幌市北区","屯田八条１丁目１１番１０号","011-788-7901","011-788-7908",,43.14007079,141.34639113,"","","","",,,
"01100","A0000088936","札幌市","合同会社アイク","ごうどうがいしゃあいく","2430003012674","北海道札幌市東区","北八条東１１丁目４−５−２０２","011-776-7493","011-776-7494","https://ikoro-kids.com","保育所等訪問支援","児童発達支援・放課後等デイサービス　いころきっず","じどうはったつしえんほうかごとうでいさーびすいころきっず","0150301265","北海道札幌市東区","北八条東１１丁目４−５エスポワールＮ８　２０１号室","011-776-7493","011-776-7494",,43.07406107,141.37039906,"","","","",,,
"01100","A0000103134","札幌市","株式会社　まなのもり","かぶしきがいしゃまなのもり","4430001061977","北海道札幌市東区","北四十二条東１５丁目１−１栄町ビル３Ｆ","011-792-6216","011-792-0070","","保育所等訪問支援","児童発達支援　るあなの木","じどうはったつしえんるあなのき","0150301356","北海道札幌市東区","北四十二条東１５丁目１−１栄町ビル３Ｆ","080-36924603","011-792-0070",,43.11313316,141.36559901,"09:00-17:00","","","","土日祝日",,
"01100","A0000113934","札幌市","社会福祉法人　東苗穂福祉会","しゃかいふくしほうじんひがしなえぼふくしかい","5430005000591","北海道札幌市東区","本町二条６丁目３−７","011-781-8389","011-781-8389","","保育所等訪問支援","社会福祉法人　東苗穂福祉会　笑む","しゃかいふくしほうじんひがしなえぼふくしかいえむ","0150301513","北海道札幌市東区","東苗穂一条２丁目３−３７","011-558-8980","011-557-4226",,43.07763376,141.39777135,"","","","",,,
"01100","E0000009305","札幌市","社会福祉法人　麦の子会","しゃかいふくしほうじんむぎのこかい","1430005000612","北海道札幌市東区","北３６条東９丁目2−28","011-788-6626","011-755-6629","http://muginoko.com/","保育所等訪問支援","むぎのこ児童発達支援センター","むぎのこじどうはったつしえんせんたー","0150201523","北海道札幌市東区","北３６条東８丁目１−３０","011-753-6468","011-753-6469","http://muginoko.com",43.10607309,141.35855584,"09:00-17:00","00:00-00:00","00:00-00:00","00:00-00:00","日曜日、国民の休日、年末年始、夏季休暇",,
"01100","A0000099240","札幌市","特定非営利活動法人　あじさいサポートネット","とくていひえいりかつどうほうじんあじさいさぽーとねっと","430005009603 ","北海道札幌市東区","北２４条東１５丁目１番７号スリール元町201号","011-751-5554","011-751-5554","http://ajisaisupport.com/","保育所等訪問支援","児童デイサービスあじさい","じどうでいさーびすあじさい","0150300200","北海道札幌市東区","北２４条東１５丁目１番７号スリール元町２０１号","011-751-5554","011-751-5554","http://ajisaisupport.com",43.07597455,141.36353280,"10:00-15:00","","","",,,
"01100","A0000095573","札幌市","社会福祉法人札幌東川下福祉会","しゃかいふくしほうじんさっぽろひがしかわしもふくしかい","6430005000657","北海道札幌市白石区","川下5条3丁目1−22札幌市白石区川下5条3丁目1‐22","011-887-0830","011-887-0836","https://poppo-hug.jp/","保育所等訪問支援","ポッポＨＵＧ東川下　","ぽっぽはぐひがしかわしも","0150403186","北海道札幌市白石区","川下五条３丁目１−２２","011-887-0830","011-871-3635",,43.05336276,141.44513799,"","","","",,,
"01100","A0000123447","札幌市","株式会社　Omasi","かぶしきかいしゃおますぃ","9430001090641","北海道札幌市白石区","平和通８丁目南１番２４−１号","011-827-7091","011-827-7092","https://hajime-no-ippo.jp","保育所等訪問支援","はじめのいっぽ","はじめのいっぽ","0150503837","北海道札幌市豊平区","美園八条３丁目３−２片山ビル２階","08060761365",,,43.03819317,141.38221103,"09:00-13:00","09:00-13:00","","","日曜日・祝日　12月30日から1月3日",,
"01100","A0000137536","札幌市","学校法人　早坂学園","がっこうほうじんはやさかがくえん","2430005000776","北海道札幌市白石区","本郷通3丁目北3-11","011-864-6246",,"https://pipitt.jp/koutou/","保育所等訪問支援","保育所等訪問支援　COCO　room","ほいくしょとうほうもんしえんここるーむ","0150403376","北海道札幌市白石区","本郷通3丁目北3-11","0115989343","0115989344",,43.04775952,141.40727212,"09:00-17:00","09:00-17:00","","","日、祝、年末年始",,
"01100","E0000010057","札幌市","株式会社アドレ","かぶしきかいしゃあどれ","5430001032787","北海道札幌市白石区","東札幌３条４丁目５−１１レインボービル","011-817-2233","011-812-7075","http://www.jun-heart.com","保育所等訪問支援","ジュン・ハート","じゅんはーと","0150900280","北海道札幌市清田区","北野５条２丁目２−２３","011-887-3333","011-887-3334","http://www.jun-heart.com",43.02019380,141.43376865,"09:30-18:30","09:00-15:00","00:00-00:00","00:00-00:00","日曜日、祝祭日、お盆、年末年始",,
"01100","A0000120915","札幌市","合同会社　希和","ごうどうがいしゃきわ","3430003011337","北海道札幌市豊平区","豊平１条３丁目１番３３−１１５号","011-556-3970","011-556-3970",,"保育所等訪問支援","だんだん","だんだん","0150503605","北海道札幌市豊平区","豊平３条１３丁目１−１ライブマーケット豊平","011-376-1721","011-376-1731",,43.04610621,141.38202176,"","","","",,,
"01100","A0000137510","札幌市","株式会社プラス","かぶしきがいしゃぷらす","8430001067401","北海道札幌市豊平区","平岸三条７丁目１−２７平岸スクエアビル５F","011-598-9135","011-667-9112",,"保育所等訪問支援","くすのき　美園","くすのきみその","0150503894","北海道札幌市豊平区","美園十条４丁目２−６ファンタジーアヴェニュー広和１階","011-827-8546","011-827-8547","https://kusunoki-misono.com/",43.03666551,141.38048904,"","","","","土日祝日",,
"01100","A0000093565","札幌市","一般社団法人子供と青い空","いっぱんしゃだんほうじんこどもとあおいそら","4430005011136","北海道札幌市豊平区","中の島二条５丁目２−１９","011-837-2415","011-837-2416","https://kawasemikids.com/","保育所等訪問支援","かわせみの森　山鼻キッズ","かわせみのもりやまはなきっず","0150102382","北海道札幌市中央区","南９条西１４丁目１−１８","011-530-2415","011-530-2416","https://kawasemikids.com/",43.04746010,141.33574796,"","","","",,,
"01100","A0000093583","札幌市","一般社団法人子供と青い空","いっぱんしゃだんほうじんこどもとあおいそら","4430005011136","北海道札幌市豊平区","中の島二条５丁目２−１９","011-837-2415","011-837-2416","https://kawasemikids.com/","保育所等訪問支援","かわせみの森中の島ハッピーキッズ","かわせみのもりなかのしまはっぴーきっず","0150503407","北海道札幌市豊平区","中の島２条５丁目２−１９","011-817-2415","011-817-2416","https://kawasemikids.com/",43.03153216,141.36067163,"","","","","土日",,
"01100","E0000009737","札幌市","合同会社　ペン具","ごうどうかいしゃぺんぐ","4430000300403","北海道札幌市豊平区","美園２条５丁目４番６号","011-841-3779","011-867-9350","http://www.peng.co.jp","保育所等訪問支援","ペングアート","ぺんぐあーと","0150503050","北海道札幌市豊平区","美園２条５丁目４番６号","011-841-3779","011-841-3779","http://www.peng.co.jp",43.04229291,141.38835471,"09:30-16:30","",,"","学校休業日",,
"01100","A0000114092","札幌市","合同会社　アッサンブラージュ","ごうどうがいしゃあっさんぶらーじゅ","9430003005300","北海道札幌市豊平区","美園８条５丁目２−２１","011-821-6987","011-821-6987",,"保育所等訪問支援","わくわくＮｏｔｅ","わくわくのーと","0150503829","北海道札幌市豊平区","豊平四条１１丁目２−６","011-376-5002","011-876-0868",,43.04615333,141.37830542,"11:00-17:00","","","","土日祝日、正月、お盆休み",,
"01100","E0000009752","札幌市","合同会社　アッサンブラージュ","ごうどうがいしゃあっさんぶらーじゅ","9430003005300","北海道札幌市豊平区","美園８条５丁目２−２１","011-821-6987","011-821-6987",,"保育所等訪問支援","わくわくＳｅｅｄ","わくわくしーど","0150503167","北海道札幌市豊平区","月寒東３条３丁目１−２","011-827-9354","011-827-6806","http://wakuwaku09.wixsite.com/wakuwaku",43.03873527,141.40004273,"10:00-13:00","","","","土日祝日、正月休み、お盆休み",,
"01100","E0000009793","札幌市","合同会社　アッサンブラージュ","ごうどうがいしゃあっさんぶらーじゅ","9430003005300","北海道札幌市豊平区","美園８条５丁目２−２１","011-821-6987","011-821-6987",,"保育所等訪問支援","わくわくＷｉｎｇ","わくわくういんぐ","0150503456","北海道札幌市豊平区","豊平８条１１丁目３−７","011-376-5002","011-376-5009","https://wakuwaku093.wixsite.com/mysite",43.04289519,141.37325048,"10:00-13:00","","","","土日祝日、正月、お盆",,
"01100","A0000005244","札幌市","特定医療法人　さっぽろ悠心の郷","とくていいりょうほうじんさっぽろゆうしんのさと","7430005001506","北海道札幌市南区","常盤３条１丁目６番１号ときわ病院","011-591-4711","011-591-0922","http://www.tokiwahp.jp/","保育所等訪問支援","児童発達支援・放課後等デイサービス　ＹｏｕⅡ","じどうはったつしえんほうかごとうでいさーびすゆうつー","0150600369","北海道札幌市南区","常盤三条１丁目４番１８−２","011-592-7705","011-592-7705","http://tokiwahp.jp/hatatu_s.html#YOU2",42.94345547,141.34505485,"10:00-17:00","00:00-00:00","00:00-00:00","00:00-00:00","土・日・国民の休日,年末年始及びお盆休み","事業所が設定する休業日（夏季休暇8月中の3日間、年末年始）",
"01100","E0000009812","札幌市","特定医療法人　さっぽろ悠心の郷","とくていいりょうほうじんさっぽろゆうしんのさと","7430005001506","北海道札幌市南区","常盤３条１丁目６番１号ときわ病院","011-591-4711","011-591-0922","http://www.tokiwahp.jp/","保育所等訪問支援","ときわ発達支援センター　保育所等訪問支援事業","ときわはったつしえんせんたーほいくしょとうほうもんしえんじぎょう","0150600203","北海道札幌市南区","常盤３条１丁目６番１号","011-593-0074","011-593-0075","http://www.tokiwahp.jp",42.94356377,141.34441600,"09:00-17:00","","","","土日祝祭日及び事業所が設定する休業日（8月中の3日間・12月30日〜1月3日）",,
"01100","E0000009866","札幌市","特定医療法人　さっぽろ悠心の郷","とくていいりょうほうじんさっぽろゆうしんのさと","7430005001506","北海道札幌市南区","常盤３条１丁目６番１号ときわ病院","011-591-4711","011-591-0922","http://www.tokiwahp.jp/","保育所等訪問支援","児童デイサービス　おはな（保育所等訪問支援）","じどうでいさーびすおはなほいくしょとうほうもんしえん","0150700227","北海道札幌市西区","二十四軒４条２丁目７−２０","011-623-8741","011-623-8742","https://www.tokiwahp.jp/relation/child/west02.html",43.07713894,141.30918988,"09:00-17:00","00:00-00:00","00:00-00:00","00:00-00:00","土曜・日曜・祝日","年末年始・お盆にそれぞれお休みの日があります。",
"01100","A0000034643","札幌市","特定非営利活動法人　みなぱ","とくていひえいりかつどうほうじんみなぱ","4430005005311","北海道札幌市南区","南３７条西１１丁目４番１０号","011-581-3784","011-206-9784","http://minapa.or.jp/","保育所等訪問支援","共育学舎　とむ∞とむ","きょういくがくしゃとむとむ","0150600401","北海道札幌市南区","南３７条西１０丁目１番２号","011-211-4766","011-211-5467","http://minapa.or.jp",43.00831747,141.34559381,"09:00-17:00","","","","日曜、国民の祝日、８月１３日から１５日、１２月２９日から１月３日",,
"01100","E0000009805","札幌市","特定非営利活動法人　さっぽろこどもさぽーと","とくていひえいりかつどうほうじんさっぽろこどもさぽーと","4430005003950","北海道札幌市南区","澄川４条１丁目２番３４号","011-817-2311","011-817-2312","http://www.nobi-nobi.org/","保育所等訪問支援","児童デイサービス　のび・のび","じどうでいさーびすのびのび","0150600096","北海道札幌市南区","澄川４条１丁目２番３４号","011-817-2311","011-817-2312","http://www.nobi-nobi.org/",43.01811990,141.36787723,"10:00-15:00","","","","月曜日から金曜日",,
"01100","A0000107479","札幌市","合同会社みのり","ごうどうがいしゃみのり","4430003010313","北海道札幌市西区","山の手３条７丁目３-１７-４０２","011-213-7602","011-213-7603","https://cocoro-nobiyaka.com/","保育所等訪問支援","こころと育ちの支援　のびや花","こころとそだちのしえんのびやか","0150700847","北海道札幌市西区","発寒１２条５丁目３-１５フォースタービル１階","011-213-7602","011-213-7603","https://cocoro-nobiyaka.com/",43.09883018,141.28803214,"10:00-17:30","10:00-17:30","","","日曜日、祝日の月曜日","月曜日の祝日は定休日",
